order_id,fc_node,sku_id,units_demanded,delivery_sla_hrs,fulfillment_status,actual_dispatch_hrs,order_date,seasonality_multiplier,is_promotional_period
1,FC_BCN1,SKU_0162,12,48,fulfilled,21.6,2024-09-01,1.0,False
2,FC_BCN1,SKU_0024,100,24,stockout,,2024-09-01,1.0,False
3,FC_BCN1,SKU_0042,10,72,fulfilled,10.6,2024-09-01,1.0,False
4,FC_BCN1,SKU_0055,4,72,fulfilled,15.2,2024-09-01,1.0,False
5,FC_BCN1,SKU_0213,1,72,fulfilled,18.1,2024-09-01,1.0,False
6,FC_BCN1,SKU_0236,24,48,fulfilled,30.8,2024-09-01,1.0,False
7,FC_BCN1,SKU_0153,42,24,fulfilled,10.3,2024-09-01,1.0,False
8,FC_BCN1,SKU_0047,9,48,fulfilled,2.5,2024-09-01,1.0,False
9,FC_BCN1,SKU_0215,13,48,fulfilled,21.1,2024-09-01,1.0,False
10,FC_BCN1,SKU_0111,5,24,fulfilled,2.8,2024-09-01,1.0,False
11,FC_BCN1,SKU_0062,19,48,fulfilled,10.4,2024-09-01,1.0,False
12,FC_BCN1,SKU_0090,15,48,fulfilled,17.2,2024-09-01,1.0,False
13,FC_BCN1,SKU_0004,41,48,fulfilled,31.3,2024-09-01,1.0,False
14,FC_BCN1,SKU_0239,3,72,fulfilled,27.2,2024-09-01,1.0,False
15,FC_BCN1,SKU_0099,6,72,fulfilled,58.1,2024-09-01,1.0,False
16,FC_BCN1,SKU_0025,45,24,fulfilled,15.9,2024-09-01,1.0,False
17,FC_BCN1,SKU_0158,5,72,fulfilled,2.3,2024-09-01,1.0,False
18,FC_BCN1,SKU_0061,106,24,fulfilled,3.7,2024-09-01,1.0,False
19,FC_BCN1,SKU_0157,6,72,fulfilled,31.7,2024-09-01,1.0,False
20,FC_BCN1,SKU_0151,39,48,fulfilled,32.4,2024-09-01,1.0,False
21,FC_BCN1,SKU_0179,11,72,fulfilled,31.0,2024-09-01,1.0,False
22,FC_BCN2,SKU_0169,26,48,fulfilled,2.6,2024-09-01,1.0,False
23,FC_BCN2,SKU_0212,52,24,fulfilled,18.2,2024-09-01,1.0,False
24,FC_BCN2,SKU_0180,83,24,fulfilled,11.8,2024-09-01,1.0,False
25,FC_BCN2,SKU_0104,61,24,fulfilled,17.1,2024-09-01,1.0,False
26,FC_BCN2,SKU_0239,7,72,fulfilled,44.7,2024-09-01,1.0,False
27,FC_BCN2,SKU_0186,36,48,fulfilled,32.3,2024-09-01,1.0,False
28,FC_BCN2,SKU_0171,48,24,fulfilled,1.9,2024-09-01,1.0,False
29,FC_BCN2,SKU_0148,1,72,fulfilled,14.3,2024-09-01,1.0,False
30,FC_BCN2,SKU_0161,88,24,fulfilled,14.1,2024-09-01,1.0,False
31,FC_BCN2,SKU_0111,34,24,fulfilled,13.7,2024-09-01,1.0,False
32,FC_BCN2,SKU_0169,6,48,fulfilled,3.9,2024-09-01,1.0,False
33,FC_BCN2,SKU_0123,36,24,fulfilled,9.6,2024-09-01,1.0,False
34,FC_BCN2,SKU_0153,46,24,fulfilled,5.8,2024-09-01,1.0,False
35,FC_BCN2,SKU_0225,17,48,fulfilled,16.7,2024-09-01,1.0,False
36,FC_BCN2,SKU_0108,13,48,fulfilled,17.5,2024-09-01,1.0,False
37,FC_MAD1,SKU_0079,2,72,fulfilled,9.8,2024-09-01,1.0,False
38,FC_MAD1,SKU_0130,28,48,fulfilled,18.5,2024-09-01,1.0,False
39,FC_MAD1,SKU_0017,11,72,fulfilled,54.6,2024-09-01,1.0,False
40,FC_MAD1,SKU_0038,43,24,fulfilled,11.7,2024-09-01,1.0,False
