po_id,supplier_id,destination_dc,sku_id,quantity_ordered,unit_cost_eur,total_cost_eur,order_date,eta_date,status
1,SUP_DE_002,1DC_BCN,SKU_0203,843,44.95,37892.85,2024-09-02,2024-09-10,delivered
2,SUP_CN_001,1DC_MAD,SKU_0065,2065,26.58,54887.7,2024-09-03,2024-09-23,delivered
3,SUP_CN_001,1DC_CDG,SKU_0222,2738,39.38,107822.44,2024-09-03,2024-09-25,delivered
4,SUP_IT_001,1DC_AMS,SKU_0112,4102,49.55,203254.1,2024-09-03,2024-09-11,delivered
5,SUP_FR_002,1DC_BCN,SKU_0087,4564,24.3,110905.2,2024-09-03,2024-09-12,delivered
6,SUP_PL_001,1DC_AMS,SKU_0187,1146,47.09,53965.14,2024-09-05,2024-09-10,delivered
7,SUP_ES_002,1DC_MAD,SKU_0027,3186,54.04,172171.44,2024-09-06,2024-09-13,delivered
8,SUP_DE_001,1DC_MUC,SKU_0115,3990,41.25,164587.5,2024-09-06,2024-09-12,delivered
9,SUP_FR_001,1DC_AMS,SKU_0090,846,19.58,16564.68,2024-09-06,2024-09-12,delivered
10,SUP_PL_001,1DC_AMS,SKU_0020,3476,14.31,49741.56,2024-09-10,2024-09-15,delivered
11,SUP_DE_001,1DC_BCN,SKU_0009,1050,28.53,29956.5,2024-09-12,2024-09-17,delivered
12,SUP_ES_002,1DC_AMS,SKU_0093,765,50.92,38953.8,2024-09-12,2024-09-20,delivered
13,SUP_CN_001,1DC_CDG,SKU_0243,3547,48.59,172348.73,2024-09-12,2024-10-02,delivered
14,SUP_ES_002,1DC_BCN,SKU_0147,4837,58.94,285092.78,2024-09-12,2024-09-19,delivered
15,SUP_CN_001,1DC_BCN,SKU_0007,4588,31.11,142732.68,2024-09-16,2024-10-06,delivered
16,SUP_ES_002,1DC_AMS,SKU_0181,2257,13.69,30898.33,2024-09-17,2024-09-24,delivered
17,SUP_FR_001,1DC_AMS,SKU_0178,2139,17.6,37646.4,2024-09-17,2024-09-21,delivered
18,SUP_CN_001,1DC_BCN,SKU_0116,4146,24.29,100706.34,2024-09-17,2024-10-09,delivered
19,SUP_IT_001,1DC_CDG,SKU_0229,1790,58.31,104374.9,2024-09-20,2024-09-26,delivered
20,SUP_NL_001,1DC_CDG,SKU_0204,4667,22.14,103327.38,2024-09-20,2024-09-23,delivered
21,SUP_DE_002,1DC_BCN,SKU_0203,2439,51.92,126632.88,2024-09-20,2024-09-26,delivered
22,SUP_DE_002,1DC_MUC,SKU_0120,1563,56.35,88075.05,2024-09-23,2024-09-29,delivered
23,SUP_CN_001,1DC_CDG,SKU_0017,3761,15.98,60100.78,2024-09-23,2024-10-16,delivered
24,SUP_FR_001,1DC_AMS,SKU_0135,3854,53.19,204994.26,2024-09-23,2024-09-27,delivered
25,SUP_NL_001,1DC_MAD,SKU_0165,4186,37.34,156305.24,2024-09-24,2024-09-28,delivered
26,SUP_ES_001,1DC_MUC,SKU_0033,1990,6.9,13731.0,2024-09-24,2024-09-29,delivered
27,SUP_FR_001,1DC_MUC,SKU_0111,953,32.62,31086.86,2024-09-24,2024-09-29,delivered
28,SUP_NL_001,1DC_BCN,SKU_0083,3334,62.38,207974.92,2024-09-25,2024-09-29,delivered
29,SUP_IT_001,1DC_MAD,SKU_0217,2552,36.87,94092.24,2024-09-25,2024-10-02,delivered
30,SUP_FR_001,1DC_MUC,SKU_0158,1265,24.65,31182.25,2024-09-26,2024-10-01,delivered
31,SUP_DE_001,1DC_MUC,SKU_0152,1763,11.95,21067.85,2024-09-26,2024-10-01,delivered
32,SUP_ES_002,1DC_MUC,SKU_0216,837,40.15,33605.55,2024-09-26,2024-10-01,delivered
33,SUP_ES_002,1DC_BCN,SKU_0167,3912,55.12,215629.44,2024-09-27,2024-10-02,delivered
34,SUP_IT_001,1DC_MUC,SKU_0128,2872,36.82,105747.04,2024-09-27,2024-10-04,delivered
35,SUP_PL_001,1DC_BCN,SKU_0124,3826,23.73,90790.98,2024-09-27,2024-10-01,delivered
