rep_id,fc_node,ixd_node,dc_node,sku_id,event_date,push_qty_ordered,push_trigger,push_idle_days,push_stockout,push_total_cost_eur,pull_qty_ordered,pull_trigger,pull_idle_days,pull_stockout,pull_total_cost_eur,transit_hrs,cost_per_unit_eur
1,FC_BCN1,IXD_BCN,1DC_BCN,SKU_0115,2024-09-01,85,forecast,7.2,False,62.13,49,reorder_point,0.9,False,35.82,9.1,0.731
2,FC_BCN1,IXD_BCN,1DC_BCN,SKU_0147,2024-09-01,175,forecast,13.0,True,141.75,120,reorder_point,1.3,False,97.2,7.0,0.81
3,FC_BCN1,IXD_BCN,1DC_BCN,SKU_0155,2024-09-01,75,forecast,6.0,False,21.3,52,reorder_point,1.4,False,14.77,10.3,0.284
4,FC_BCN1,IXD_BCN,1DC_BCN,SKU_0006,2024-09-01,145,forecast,5.6,False,72.06,134,reorder_point,2.4,False,66.6,8.1,0.497
5,FC_BCN1,IXD_BCN,1DC_BCN,SKU_0025,2024-09-01,138,forecast,12.7,False,35.19,108,reorder_point,1.5,False,27.54,9.7,0.255
6,FC_BCN1,IXD_BCN,1DC_BCN,SKU_0168,2024-09-01,87,forecast,7.3,False,54.55,50,reorder_point,1.6,False,31.35,9.2,0.627
7,FC_BCN1,IXD_BCN,1DC_BCN,SKU_0044,2024-09-01,50,forecast,10.3,False,27.25,44,reorder_point,1.7,False,23.98,7.1,0.545
8,FC_BCN2,IXD_BCN,1DC_BCN,SKU_0139,2024-09-01,56,forecast,9.6,False,41.44,49,reorder_point,1.9,False,36.26,8.1,0.74
9,FC_BCN2,IXD_BCN,1DC_BCN,SKU_0080,2024-09-01,23,forecast,8.3,False,14.33,11,reorder_point,1.3,False,6.85,8.6,0.623
10,FC_BCN2,IXD_BCN,1DC_BCN,SKU_0195,2024-09-01,83,forecast,6.8,False,47.89,40,reorder_point,2.8,False,23.08,8.7,0.577
11,FC_BCN2,IXD_BCN,1DC_BCN,SKU_0003,2024-09-01,80,forecast,11.8,False,28.0,51,reorder_point,1.9,False,17.85,9.9,0.35
12,FC_BCN2,IXD_BCN,1DC_BCN,SKU_0184,2024-09-01,211,forecast,7.3,False,182.51,117,reorder_point,1.6,False,101.2,7.2,0.865
13,FC_BCN2,IXD_BCN,1DC_BCN,SKU_0233,2024-09-01,19,forecast,10.6,False,4.5,13,reorder_point,1.8,False,3.08,8.8,0.237
14,FC_BCN2,IXD_BCN,1DC_BCN,SKU_0029,2024-09-01,200,forecast,9.8,False,30.0,130,reorder_point,1.0,True,19.5,9.1,0.15
15,FC_MAD1,IXD_MAD,1DC_MAD,SKU_0006,2024-09-01,152,forecast,4.1,False,67.18,133,reorder_point,2.3,False,58.79,9.7,0.442
16,FC_MAD1,IXD_MAD,1DC_MAD,SKU_0080,2024-09-01,21,forecast,8.5,False,17.87,13,reorder_point,0.6,False,11.06,10.2,0.851
17,FC_MAD1,IXD_MAD,1DC_MAD,SKU_0038,2024-09-01,138,forecast,11.5,True,30.64,124,reorder_point,1.0,False,27.53,9.9,0.222
18,FC_MAD1,IXD_MAD,1DC_MAD,SKU_0197,2024-09-01,209,forecast,7.2,False,174.51,116,reorder_point,3.0,False,96.86,5.4,0.835
19,FC_MAD1,IXD_MAD,1DC_MAD,SKU_0025,2024-09-01,188,forecast,13.8,False,194.96,132,reorder_point,1.3,False,136.88,8.1,1.037
20,FC_MAD1,IXD_MAD,1DC_MAD,SKU_0134,2024-09-01,54,forecast,8.3,False,57.94,45,reorder_point,0.6,False,48.28,8.1,1.073
21,FC_MAD2,IXD_MAD,1DC_MAD,SKU_0163,2024-09-01,67,forecast,3.2,False,53.0,48,reorder_point,1.5,False,37.97,10.8,0.791
22,FC_MAD2,IXD_MAD,1DC_MAD,SKU_0177,2024-09-01,19,forecast,7.1,False,19.59,11,reorder_point,0.7,False,11.34,8.0,1.031
23,FC_MAD2,IXD_MAD,1DC_MAD,SKU_0195,2024-09-01,74,forecast,3.7,False,65.79,49,reorder_point,2.5,False,43.56,9.1,0.889
24,FC_PAR1,IXD_PAR,1DC_CDG,SKU_0229,2024-09-01,179,forecast,5.1,False,104.71,120,reorder_point,0.8,False,70.2,13.6,0.585
25,FC_PAR1,IXD_PAR,1DC_CDG,SKU_0113,2024-09-01,19,forecast,9.0,False,13.28,12,reorder_point,1.9,False,8.39,5.0,0.699
26,FC_PAR1,IXD_PAR,1DC_CDG,SKU_0221,2024-09-01,19,forecast,3.8,False,1.92,11,reorder_point,1.2,False,1.11,9.2,0.101
27,FC_PAR1,IXD_PAR,1DC_CDG,SKU_0164,2024-09-01,18,forecast,11.1,False,19.21,13,reorder_point,1.4,False,13.87,8.2,1.067
28,FC_PAR1,IXD_PAR,1DC_CDG,SKU_0210,2024-09-01,65,forecast,8.8,False,48.16,47,reorder_point,2.0,False,34.83,9.1,0.741
29,FC_PAR1,IXD_PAR,1DC_CDG,SKU_0029,2024-09-01,142,forecast,10.2,True,18.74,141,reorder_point,0.9,True,18.61,9.4,0.132
30,FC_PAR1,IXD_PAR,1DC_CDG,SKU_0165,2024-09-01,22,forecast,10.2,False,15.53,13,reorder_point,1.1,False,9.18,9.2,0.706
31,FC_PAR1,IXD_PAR,1DC_CDG,SKU_0019,2024-09-01,50,forecast,13.1,False,42.15,53,reorder_point,2.6,False,44.68,7.4,0.843
32,FC_PAR2,IXD_PAR,1DC_AMS,SKU_0095,2024-09-01,217,forecast,3.6,False,38.63,127,reorder_point,2.3,False,22.61,7.2,0.178
33,FC_PAR2,IXD_PAR,1DC_AMS,SKU_0056,2024-09-01,88,forecast,4.1,False,24.55,47,reorder_point,1.0,False,13.11,8.5,0.279
34,FC_PAR2,IXD_PAR,1DC_AMS,SKU_0192,2024-09-01,72,forecast,11.2,False,37.94,48,reorder_point,2.2,False,25.3,11.0,0.527
35,FC_PAR2,IXD_PAR,1DC_AMS,SKU_0027,2024-09-01,15,forecast,5.0,False,6.22,12,reorder_point,0.9,False,4.98,6.9,0.415
36,FC_PAR2,IXD_PAR,1DC_AMS,SKU_0084,2024-09-01,83,forecast,7.5,False,53.62,51,reorder_point,1.3,False,32.95,9.1,0.646
37,FC_PAR2,IXD_PAR,1DC_AMS,SKU_0097,2024-09-01,21,forecast,13.2,False,14.62,14,reorder_point,1.6,False,9.74,7.7,0.696
38,FC_PAR2,IXD_PAR,1DC_AMS,SKU_0133,2024-09-01,54,forecast,12.8,True,47.09,53,reorder_point,1.0,False,46.22,3.4,0.872
39,FC_PAR2,IXD_PAR,1DC_AMS,SKU_0242,2024-09-01,206,forecast,6.0,False,49.03,128,reorder_point,2.8,False,30.46,10.1,0.238
40,FC_BER1,IXD_BER,1DC_CDG,SKU_0064,2024-09-01,15,forecast,11.9,False,12.36,12,reorder_point,2.8,False,9.89,8.9,0.824
41,FC_BER1,IXD_BER,1DC_CDG,SKU_0203,2024-09-01,69,forecast,8.4,False,62.65,49,reorder_point,2.5,False,44.49,8.2,0.908
42,FC_BER1,IXD_BER,1DC_CDG,SKU_0098,2024-09-01,52,forecast,3.6,False,50.34,45,reorder_point,2.5,False,43.56,8.1,0.968
43,FC_BER1,IXD_BER,1DC_CDG,SKU_0223,2024-09-01,80,forecast,11.2,False,33.52,53,reorder_point,2.1,False,22.21,10.6,0.419
44,FC_BER1,IXD_BER,1DC_CDG,SKU_0145,2024-09-01,55,forecast,8.5,False,30.03,41,reorder_point,2.3,False,22.39,9.2,0.546
45,FC_BER1,IXD_BER,1DC_CDG,SKU_0153,2024-09-01,194,forecast,4.0,False,125.71,136,reorder_point,0.9,False,88.13,5.6,0.648
46,FC_MUN1,IXD_PAR,1DC_MAD,SKU_0129,2024-09-01,67,forecast,10.7,False,44.96,46,reorder_point,1.0,False,30.87,8.9,0.671
47,FC_MUN1,IXD_PAR,1DC_MAD,SKU_0144,2024-09-01,198,forecast,11.1,False,152.86,110,reorder_point,2.4,False,84.92,9.2,0.772
48,FC_MUN1,IXD_PAR,1DC_MAD,SKU_0109,2024-09-01,64,forecast,5.1,False,28.8,49,reorder_point,2.4,False,22.05,8.1,0.45
49,FC_MUN1,IXD_PAR,1DC_MAD,SKU_0211,2024-09-01,89,forecast,7.9,False,84.82,41,reorder_point,2.5,False,39.07,6.4,0.953
50,FC_MUN1,IXD_PAR,1DC_MAD,SKU_0029,2024-09-01,211,forecast,5.7,False,93.47,113,reorder_point,2.6,False,50.06,10.7,0.443
51,FC_BCN1,IXD_BCN,1DC_BCN,SKU_0029,2024-09-02,164,forecast,8.2,False,118.57,134,reorder_point,1.0,False,96.88,8.5,0.723
52,FC_BCN1,IXD_BCN,1DC_BCN,SKU_0037,2024-09-02,77,forecast,10.4,False,12.32,52,reorder_point,1.8,False,8.32,6.2,0.16
53,FC_BCN1,IXD_BCN,1DC_BCN,SKU_0052,2024-09-02,217,forecast,9.8,True,164.92,131,reorder_point,0.5,False,99.56,8.0,0.76
