sla_id,from_node,to_node,measurement_date,planned_transit_hrs,actual_transit_hrs,sla_breached,delay_hrs,delay_reason
1,1DC_BCN,IXD_BCN,2024-09-01,10.0,7.2,False,0.0,
2,1DC_BCN,IXD_BCN,2024-09-04,10.0,10.8,True,0.8,port_congestion
3,1DC_BCN,IXD_BCN,2024-09-07,10.0,7.2,False,0.0,
4,1DC_BCN,IXD_BCN,2024-09-10,10.0,9.5,False,0.0,
5,1DC_BCN,IXD_BCN,2024-09-13,10.0,10.0,False,0.0,
6,1DC_BCN,IXD_BCN,2024-09-16,10.0,10.5,True,0.5,customs_hold
7,1DC_BCN,IXD_BCN,2024-09-19,10.0,7.3,False,0.0,
8,1DC_BCN,IXD_BCN,2024-09-22,10.0,8.8,False,0.0,
9,1DC_BCN,IXD_BCN,2024-09-25,10.0,10.8,True,0.8,carrier_capacity
10,1DC_BCN,IXD_BCN,2024-09-28,10.0,10.5,True,0.5,driver_shortage
11,1DC_BCN,IXD_BCN,2024-10-01,10.0,12.2,True,2.2,port_congestion
12,1DC_BCN,IXD_BCN,2024-10-04,10.0,9.0,False,0.0,
13,1DC_BCN,IXD_BCN,2024-10-07,10.0,11.2,True,1.2,driver_shortage
14,1DC_BCN,IXD_BCN,2024-10-10,10.0,7.3,False,0.0,
15,1DC_BCN,IXD_BCN,2024-10-13,10.0,12.0,True,2.0,port_congestion
16,1DC_BCN,IXD_BCN,2024-10-16,10.0,9.6,False,0.0,
17,1DC_BCN,IXD_BCN,2024-10-19,10.0,9.3,False,0.0,
18,1DC_BCN,IXD_BCN,2024-10-22,10.0,7.6,False,0.0,
19,1DC_BCN,IXD_BCN,2024-10-25,10.0,8.2,False,0.0,
20,1DC_BCN,IXD_BCN,2024-10-28,10.0,8.2,False,0.0,
21,1DC_BCN,IXD_BCN,2024-10-31,10.0,8.7,False,0.0,
22,1DC_BCN,IXD_BCN,2024-11-03,10.0,9.4,False,0.0,
23,1DC_BCN,IXD_BCN,2024-11-06,10.0,10.2,True,0.2,port_congestion
24,1DC_BCN,IXD_BCN,2024-11-09,10.0,11.6,True,1.6,weather
25,1DC_BCN,IXD_BCN,2024-11-12,10.0,11.4,True,1.4,weather
26,1DC_BCN,IXD_BCN,2024-11-15,10.0,10.0,False,0.0,
27,1DC_BCN,IXD_BCN,2024-11-18,10.0,8.5,False,0.0,
28,1DC_BCN,IXD_BCN,2024-11-21,10.0,10.5,True,0.5,carrier_capacity
29,1DC_BCN,IXD_BCN,2024-11-24,10.0,13.7,True,3.7,port_congestion
30,1DC_BCN,IXD_BCN,2024-11-27,10.0,6.1,False,0.0,
31,1DC_BCN,IXD_BCN,2024-11-30,10.0,10.2,True,0.2,weather
32,1DC_BCN,IXD_BCN,2024-12-03,10.0,8.3,False,0.0,
33,1DC_BCN,IXD_BCN,2024-12-06,10.0,10.1,True,0.1,driver_shortage
34,1DC_BCN,IXD_BCN,2024-12-09,10.0,10.9,True,0.9,carrier_capacity
35,1DC_BCN,IXD_BCN,2024-12-12,10.0,7.8,False,0.0,
36,1DC_BCN,IXD_BCN,2024-12-15,10.0,13.9,True,3.9,port_congestion
37,1DC_BCN,IXD_BCN,2024-12-18,10.0,9.8,False,0.0,
38,1DC_BCN,IXD_BCN,2024-12-21,10.0,8.9,False,0.0,
39,1DC_BCN,IXD_BCN,2024-12-24,10.0,8.0,False,0.0,
40,1DC_BCN,IXD_BCN,2024-12-27,10.0,11.3,True,1.3,weather
41,IXD_BCN,FC_BCN1,2024-09-01,5.0,4.6,False,0.0,
42,IXD_BCN,FC_BCN1,2024-09-04,5.0,4.7,False,0.0,
43,IXD_BCN,FC_BCN1,2024-09-07,5.0,2.9,False,0.0,
44,IXD_BCN,FC_BCN1,2024-09-10,5.0,5.8,True,0.8,port_congestion
45,IXD_BCN,FC_BCN1,2024-09-13,5.0,4.0,False,0.0,
46,IXD_BCN,FC_BCN1,2024-09-16,5.0,5.4,True,0.4,weather
47,IXD_BCN,FC_BCN1,2024-09-19,5.0,4.2,False,0.0,
48,IXD_BCN,FC_BCN1,2024-09-22,5.0,4.8,False,0.0,
49,IXD_BCN,FC_BCN1,2024-09-25,5.0,5.6,True,0.6,driver_shortage
50,IXD_BCN,FC_BCN1,2024-09-28,5.0,4.3,False,0.0,
51,IXD_BCN,FC_BCN1,2024-10-01,5.0,3.2,False,0.0,
52,IXD_BCN,FC_BCN1,2024-10-04,5.0,4.5,False,0.0,
53,IXD_BCN,FC_BCN1,2024-10-07,5.0,5.8,True,0.8,port_congestion
54,IXD_BCN,FC_BCN1,2024-10-10,5.0,3.8,False,0.0,
55,IXD_BCN,FC_BCN1,2024-10-13,5.0,4.0,False,0.0,
56,IXD_BCN,FC_BCN1,2024-10-16,5.0,4.6,False,0.0,
57,IXD_BCN,FC_BCN1,2024-10-19,5.0,6.2,True,1.2,carrier_capacity
58,IXD_BCN,FC_BCN1,2024-10-22,5.0,3.8,False,0.0,
59,IXD_BCN,FC_BCN1,2024-10-25,5.0,5.0,False,0.0,
60,IXD_BCN,FC_BCN1,2024-10-28,5.0,6.6,True,1.6,customs_hold
61,IXD_BCN,FC_BCN1,2024-10-31,5.0,4.4,False,0.0,
62,IXD_BCN,FC_BCN1,2024-11-03,5.0,2.8,False,0.0,
63,IXD_BCN,FC_BCN1,2024-11-06,5.0,3.4,False,0.0,
64,IXD_BCN,FC_BCN1,2024-11-09,5.0,5.0,False,0.0,
65,IXD_BCN,FC_BCN1,2024-11-12,5.0,5.9,True,0.9,carrier_capacity
66,IXD_BCN,FC_BCN1,2024-11-15,5.0,4.5,False,0.0,
67,IXD_BCN,FC_BCN1,2024-11-18,5.0,3.8,False,0.0,
68,IXD_BCN,FC_BCN1,2024-11-21,5.0,5.5,True,0.5,customs_hold
69,IXD_BCN,FC_BCN1,2024-11-24,5.0,4.9,False,0.0,
70,IXD_BCN,FC_BCN1,2024-11-27,5.0,5.7,True,0.7,carrier_capacity
71,IXD_BCN,FC_BCN1,2024-11-30,5.0,4.5,False,0.0,
72,IXD_BCN,FC_BCN1,2024-12-03,5.0,5.5,True,0.5,port_congestion
73,IXD_BCN,FC_BCN1,2024-12-06,5.0,4.6,False,0.0,
74,IXD_BCN,FC_BCN1,2024-12-09,5.0,5.7,True,0.7,weather
75,IXD_BCN,FC_BCN1,2024-12-12,5.0,5.3,True,0.3,customs_hold
76,IXD_BCN,FC_BCN1,2024-12-15,5.0,4.3,False,0.0,
77,IXD_BCN,FC_BCN1,2024-12-18,5.0,3.6,False,0.0,
78,IXD_BCN,FC_BCN1,2024-12-21,5.0,5.3,True,0.3,weather
79,IXD_BCN,FC_BCN1,2024-12-24,5.0,5.4,True,0.4,driver_shortage
80,IXD_BCN,FC_BCN1,2024-12-27,5.0,5.2,True,0.2,customs_hold
81,RDC_IBE,IXD_BCN,2024-09-01,10.0,8.1,False,0.0,
82,RDC_IBE,IXD_BCN,2024-09-04,10.0,9.9,False,0.0,
83,RDC_IBE,IXD_BCN,2024-09-07,10.0,7.4,False,0.0,
84,RDC_IBE,IXD_BCN,2024-09-10,10.0,10.2,True,0.2,weather
85,RDC_IBE,IXD_BCN,2024-09-13,10.0,11.3,True,1.3,carrier_capacity
86,RDC_IBE,IXD_BCN,2024-09-16,10.0,7.5,False,0.0,
87,RDC_IBE,IXD_BCN,2024-09-19,10.0,10.6,True,0.6,customs_hold
88,RDC_IBE,IXD_BCN,2024-09-22,10.0,10.3,True,0.3,driver_shortage
89,RDC_IBE,IXD_BCN,2024-09-25,10.0,5.1,False,0.0,
90,RDC_IBE,IXD_BCN,2024-09-28,10.0,13.1,True,3.1,customs_hold
91,RDC_IBE,IXD_BCN,2024-10-01,10.0,10.0,False,0.0,
92,RDC_IBE,IXD_BCN,2024-10-04,10.0,12.0,True,2.0,carrier_capacity
93,RDC_IBE,IXD_BCN,2024-10-07,10.0,8.4,False,0.0,
94,RDC_IBE,IXD_BCN,2024-10-10,10.0,11.7,True,1.7,driver_shortage
95,RDC_IBE,IXD_BCN,2024-10-13,10.0,8.3,False,0.0,
