transfer_id,from_node,to_node,sku_id,units,transit_hrs,handling_cost_eur,transit_cost_eur,storage_cost_eur,total_cost_eur,transfer_mode,status,transfer_date
1,IXD_MAD,FC_MAD1,SKU_0073,889,5.1,0.137,0.345,0.096,513.84,road,completed,2024-09-01
2,IXD_PAR,FC_PAR1,SKU_0097,247,4.6,0.041,0.328,0.091,113.62,road,completed,2024-09-01
3,RDC_IBE,IXD_BCN,SKU_0099,366,7.0,0.057,0.799,0.093,347.33,road,completed,2024-09-01
4,RDC_LYS,IXD_PAR,SKU_0214,228,4.3,0.061,0.368,0.088,117.88,road,completed,2024-09-01
5,1DC_MAD,IXD_MAD,SKU_0105,734,10.1,0.088,0.105,0.037,168.82,road,completed,2024-09-01
6,1DC_BCN,IXD_PAR,SKU_0072,844,7.0,0.143,0.617,0.036,671.82,road,completed,2024-09-01
7,IXD_BCN,FC_BCN1,SKU_0153,820,6.0,0.081,0.778,0.023,723.24,road,completed,2024-09-02
8,IXD_PAR,FC_PAR1,SKU_0137,73,3.2,0.04,0.681,0.096,59.64,road,completed,2024-09-02
9,1DC_BCN,IXD_BER,SKU_0178,682,9.3,0.053,0.688,0.082,561.29,road,completed,2024-09-02
10,RDC_FRA,IXD_PAR,SKU_0018,131,7.8,0.076,0.307,0.09,61.96,road,completed,2024-09-02
11,RDC_LYS,IXD_PAR,SKU_0238,114,8.8,0.042,0.607,0.076,82.65,road,completed,2024-09-02
12,IXD_PAR,FC_PAR2,SKU_0208,207,4.0,0.033,0.606,0.029,138.28,road,completed,2024-09-02
13,1DC_BCN,IXD_PAR,SKU_0181,557,9.2,0.08,0.461,0.058,333.64,road,completed,2024-09-02
14,IXD_MAD,FC_MAD2,SKU_0135,755,4.0,0.148,0.534,0.095,586.63,road,completed,2024-09-02
15,IXD_BER,FC_BER1,SKU_0083,289,1.0,0.106,0.386,0.079,165.02,road,completed,2024-09-02
16,IXD_PAR,FC_MUN1,SKU_0067,156,3.3,0.049,0.486,0.099,98.9,road,completed,2024-09-02
17,RDC_LYS,IXD_PAR,SKU_0099,562,9.5,0.05,0.408,0.046,283.25,road,completed,2024-09-02
18,IXD_PAR,FC_PAR1,SKU_0227,708,3.5,0.113,0.741,0.057,644.99,road,completed,2024-09-02
19,IXD_BER,FC_BER1,SKU_0238,205,3.9,0.122,0.224,0.078,86.92,road,completed,2024-09-02
20,IXD_BCN,FC_BCN2,SKU_0136,25,2.5,0.083,0.556,0.093,18.3,road,completed,2024-09-02
21,IXD_PAR,FC_PAR1,SKU_0028,130,3.6,0.132,0.721,0.091,122.72,road,completed,2024-09-02
22,IXD_MAD,FC_MAD1,SKU_0106,513,6.1,0.098,0.495,0.052,330.88,road,completed,2024-09-02
23,RDC_IBE,IXD_MAD,SKU_0113,128,9.5,0.032,0.056,0.023,14.21,road,completed,2024-09-02
24,IXD_PAR,FC_PAR2,SKU_0049,345,6.3,0.132,0.313,0.015,158.7,road,completed,2024-09-02
25,1DC_MAD,IXD_MAD,SKU_0011,596,9.6,0.116,0.332,0.03,284.89,road,completed,2024-09-02
26,1DC_BCN,IXD_BCN,SKU_0074,339,8.9,0.146,0.516,0.053,242.38,road,completed,2024-09-02
27,RDC_LYS,IXD_PAR,SKU_0169,78,7.4,0.055,0.42,0.058,41.57,road,completed,2024-09-02
28,IXD_BCN,FC_BCN1,SKU_0146,819,3.8,0.118,0.63,0.057,659.3,road,completed,2024-09-02
29,1DC_CDG,IXD_PAR,SKU_0019,113,7.6,0.085,0.674,0.09,95.94,road,completed,2024-09-02
30,RDC_FRA,IXD_PAR,SKU_0159,490,9.4,0.13,0.493,0.06,334.67,road,completed,2024-09-03
31,RDC_FRA,IXD_PAR,SKU_0122,241,9.2,0.147,0.129,0.047,77.84,road,completed,2024-09-03
32,IXD_MAD,FC_MAD1,SKU_0089,644,4.6,0.141,0.113,0.011,170.66,road,completed,2024-09-03
33,IXD_BER,FC_BER1,SKU_0121,319,5.1,0.036,0.496,0.052,186.3,road,completed,2024-09-03
34,1DC_BCN,IXD_BCN,SKU_0034,399,6.9,0.078,0.608,0.016,280.1,road,completed,2024-09-03
35,IXD_BCN,FC_BCN1,SKU_0025,23,2.3,0.093,0.304,0.032,9.87,road,completed,2024-09-03
36,1DC_BCN,IXD_PAR,SKU_0002,531,8.8,0.031,0.162,0.023,114.7,road,completed,2024-09-03
37,RDC_IBE,IXD_BCN,SKU_0180,425,8.6,0.097,0.214,0.098,173.82,road,completed,2024-09-03
38,IXD_BCN,FC_BCN1,SKU_0025,885,4.0,0.146,0.107,0.092,305.32,road,completed,2024-09-03
39,IXD_BCN,FC_BCN2,SKU_0145,220,3.2,0.125,0.595,0.02,162.8,road,completed,2024-09-03
40,IXD_BER,FC_BER1,SKU_0112,650,2.3,0.038,0.679,0.02,479.05,road,completed,2024-09-03
41,RDC_LYS,IXD_PAR,SKU_0021,830,8.3,0.126,0.633,0.048,669.81,road,completed,2024-09-03
42,RDC_IBE,IXD_MAD,SKU_0191,175,7.2,0.061,0.151,0.097,54.08,road,completed,2024-09-03
43,IXD_PAR,FC_PAR2,SKU_0032,463,5.5,0.084,0.131,0.091,141.68,road,completed,2024-09-03
44,RDC_FRA,IXD_PAR,SKU_0223,821,9.2,0.132,0.64,0.064,686.36,road,completed,2024-09-03
45,IXD_PAR,FC_PAR2,SKU_0010,180,5.1,0.115,0.743,0.024,158.76,road,completed,2024-09-03
46,1DC_BCN,IXD_BCN,SKU_0235,353,9.1,0.093,0.299,0.052,156.73,road,completed,2024-09-03
47,IXD_PAR,FC_PAR2,SKU_0001,194,3.0,0.065,0.776,0.069,176.54,road,completed,2024-09-03
48,IXD_MAD,FC_MAD1,SKU_0056,270,4.9,0.044,0.397,0.039,129.6,road,completed,2024-09-03
49,IXD_PAR,FC_MUN1,SKU_0242,147,3.8,0.131,0.771,0.024,136.12,road,completed,2024-09-03
50,1DC_MAD,IXD_MAD,SKU_0103,112,7.7,0.107,0.061,0.02,21.06,road,completed,2024-09-03
51,IXD_BER,FC_BER1,SKU_0109,871,2.1,0.118,0.662,0.035,709.87,road,completed,2024-09-03
52,RDC_IBE,IXD_MAD,SKU_0131,783,8.3,0.139,0.511,0.014,519.91,road,completed,2024-09-03
53,IXD_PAR,FC_PAR1,SKU_0059,52,4.0,0.114,0.736,0.048,46.7,road,completed,2024-09-03
54,IXD_PAR,FC_MUN1,SKU_0045,601,2.5,0.144,0.582,0.086,488.01,road,completed,2024-09-03
55,RDC_LYS,IXD_PAR,SKU_0233,672,10.0,0.035,0.644,0.054,492.58,road,completed,2024-09-04
56,IXD_BER,FC_BER1,SKU_0211,629,3.5,0.13,0.291,0.055,299.4,road,completed,2024-09-04
57,IXD_PAR,FC_PAR1,SKU_0233,436,5.0,0.071,0.396,0.095,245.03,road,completed,2024-09-04
58,IXD_MAD,FC_MAD2,SKU_0029,372,4.3,0.09,0.487,0.067,239.57,road,completed,2024-09-04
59,IXD_MAD,FC_MAD1,SKU_0198,240,4.9,0.048,0.637,0.026,170.64,road,completed,2024-09-04
60,IXD_PAR,FC_MUN1,SKU_0110,348,3.9,0.106,0.146,0.088,118.32,road,completed,2024-09-04
61,IXD_PAR,FC_PAR1,SKU_0177,332,6.4,0.071,0.256,0.015,113.54,road,completed,2024-09-04
62,1DC_BCN,IXD_BCN,SKU_0040,678,9.5,0.076,0.295,0.087,310.52,road,completed,2024-09-04
63,IXD_PAR,FC_PAR1,SKU_0231,226,4.7,0.096,0.465,0.098,148.93,road,completed,2024-09-04
64,1DC_MAD,IXD_MAD,SKU_0064,332,8.8,0.059,0.312,0.048,139.11,road,completed,2024-09-04
65,RDC_IBE,IXD_MAD,SKU_0199,799,7.2,0.093,0.772,0.079,754.26,road,completed,2024-09-04
66,IXD_PAR,FC_PAR2,SKU_0172,397,2.9,0.048,0.054,0.081,72.65,road,completed,2024-09-04
67,RDC_IBE,IXD_MAD,SKU_0029,226,11.6,0.058,0.527,0.067,147.35,road,completed,2024-09-04
68,1DC_BCN,IXD_BCN,SKU_0231,394,7.7,0.031,0.736,0.089,337.26,road,completed,2024-09-04
69,RDC_IBE,IXD_BCN,SKU_0092,786,7.0,0.123,0.131,0.044,234.23,road,completed,2024-09-04
70,1DC_MAD,IXD_MAD,SKU_0018,382,8.6,0.096,0.135,0.059,110.78,road,completed,2024-09-04
71,IXD_BER,FC_BER1,SKU_0010,610,5.2,0.123,0.332,0.091,333.06,road,completed,2024-09-04
72,IXD_PAR,FC_MUN1,SKU_0006,397,6.1,0.103,0.639,0.022,303.31,road,completed,2024-09-04
73,RDC_LYS,IXD_PAR,SKU_0010,691,6.7,0.143,0.467,0.018,433.95,road,completed,2024-09-04
74,IXD_BCN,FC_BCN1,SKU_0076,246,4.8,0.089,0.154,0.011,62.48,road,completed,2024-09-04
75,IXD_BER,FC_BER1,SKU_0102,599,4.1,0.065,0.385,0.047,297.7,road,completed,2024-09-04
76,1DC_MAD,IXD_MAD,SKU_0214,668,7.0,0.054,0.174,0.045,182.36,road,completed,2024-09-04
77,IXD_PAR,FC_MUN1,SKU_0189,251,3.8,0.113,0.125,0.038,69.28,road,completed,2024-09-04
78,1DC_BCN,IXD_BCN,SKU_0118,367,8.8,0.134,0.71,0.053,329.2,road,completed,2024-09-04
79,IXD_BCN,FC_BCN2,SKU_0028,292,6.0,0.132,0.774,0.049,278.86,road,completed,2024-09-04
80,RDC_LYS,IXD_PAR,SKU_0152,246,9.9,0.149,0.243,0.044,107.26,road,completed,2024-09-04
81,IXD_BCN,FC_BCN2,SKU_0241,223,4.3,0.091,0.201,0.091,85.41,road,completed,2024-09-04
82,IXD_BCN,FC_BCN2,SKU_0128,327,3.8,0.095,0.496,0.038,205.68,road,completed,2024-09-04
83,RDC_LYS,IXD_PAR,SKU_0092,565,7.7,0.064,0.406,0.032,283.63,road,completed,2024-09-04
84,IXD_PAR,FC_PAR1,SKU_0225,364,5.2,0.101,0.651,0.025,282.83,road,completed,2024-09-04
85,IXD_PAR,FC_PAR1,SKU_0210,641,5.3,0.085,0.473,0.095,418.57,road,completed,2024-09-04
86,RDC_IBE,IXD_MAD,SKU_0237,836,8.2,0.065,0.596,0.094,631.18,road,completed,2024-09-04
87,1DC_MAD,IXD_MAD,SKU_0006,29,9.8,0.044,0.527,0.065,18.44,road,completed,2024-09-04
88,RDC_IBE,IXD_BCN,SKU_0195,869,9.3,0.069,0.26,0.029,311.1,road,completed,2024-09-04
89,IXD_BCN,FC_BCN1,SKU_0113,740,2.6,0.104,0.335,0.094,394.42,road,completed,2024-09-04
90,RDC_FRA,IXD_BER,SKU_0218,823,8.9,0.126,0.745,0.076,779.38,road,completed,2024-09-04
91,1DC_BCN,IXD_BCN,SKU_0191,707,10.4,0.105,0.146,0.041,206.44,road,completed,2024-09-04
92,RDC_LYS,IXD_PAR,SKU_0153,362,9.1,0.107,0.35,0.029,175.93,road,completed,2024-09-04
93,1DC_MAD,IXD_MAD,SKU_0045,856,7.8,0.073,0.284,0.058,355.24,road,completed,2024-09-05
94,RDC_FRA,IXD_PAR,SKU_0032,246,11.0,0.044,0.384,0.021,110.45,road,completed,2024-09-05
95,RDC_IBE,IXD_MAD,SKU_0094,590,8.5,0.054,0.157,0.036,145.73,road,completed,2024-09-05
96,RDC_IBE,IXD_MAD,SKU_0087,108,7.4,0.067,0.465,0.09,67.18,road,completed,2024-09-05
97,RDC_FRA,IXD_PAR,SKU_0118,90,10.2,0.058,0.763,0.09,81.99,road,completed,2024-09-05
98,IXD_MAD,FC_MAD2,SKU_0230,733,2.9,0.04,0.092,0.041,126.81,road,completed,2024-09-05
99,1DC_CDG,IXD_PAR,SKU_0085,463,6.5,0.049,0.731,0.029,374.57,road,completed,2024-09-05
100,IXD_BER,FC_BER1,SKU_0051,709,4.5,0.082,0.625,0.01,508.35,road,completed,2024-09-05
101,IXD_MAD,FC_MAD1,SKU_0170,566,1.1,0.109,0.578,0.06,422.8,road,completed,2024-09-05
102,IXD_MAD,FC_MAD1,SKU_0124,358,4.8,0.109,0.643,0.014,274.23,road,completed,2024-09-05
103,IXD_PAR,FC_MUN1,SKU_0010,866,4.6,0.076,0.512,0.019,525.66,road,completed,2024-09-05
104,IXD_MAD,FC_MAD1,SKU_0248,895,3.9,0.098,0.256,0.017,332.05,road,completed,2024-09-05
